Timestamp,What is your age range?,What is your gender?,What is your field of work/study? (Faculty),What is your level of education,What is your occupation?,Have you ever used chatGPT,Do you think chat GPT is unethical?,Do you think ChatGPT is useful?,What would be the use of ChatGPT?,Do you think universities should allow the use of ChatGPT?,Explain your reasoning for the question above,Do you think ChatGPT is plagiarism?
3/20/2023 14:12:17,26-35,M,Arts,Bachelor's degree,Knowledge Base content creator,Yes,No,No,,No,"This removes the necessity of doing research. Not all information is accurate, so one must go back and fact check the content before submitting.",No
3/20/2023 16:19:47,21-25,M,Public Administration ,Bachelor's degree,Educator,Yes,Yes,No,I dont think there really is much of a use for ChatGPT,Yes,"For writing papers its should not be used. However, it can be used to critque. For instance, student uses ChatGPT to write essay which in then thoughoughly analyzed for mistakes and critiqued for an assignment.",Yes
3/20/2023 16:57:56,18-20,M,Engineering/Architectural Science,Bachelor's degree,,Yes,No,Yes,,Yes,"It can help in the boosting of knowledge of students, so there's no harm in allowing it for some projects, but not all.",No
3/21/2023 7:52:24,21-25,M,Science,Master's degree,Machine Learning & AI intern ,Yes,No,Yes,,No,"ChatGPT is still in a learning process, may not always give you the correct answers. It's better to avoid learning false or half-truthful information in such a sensitive field of education ",No
3/21/2023 8:35:26,18-20,M,Science,High School diploma or equivalent,Student,Yes,No,Yes,Learning Aid,Yes,"If used ethically and effectively, Chat GPT can be a great learning tool which aids the process. It can help one find effective solutions and explanations in a summarised and time efficient manner. ",No
3/21/2023 17:51:49,21-25,F,Arts,Bachelor's degree,Bank Analyst,No,No,Yes,Helping students and employees,Yes,benefits the students and the professors,No
3/21/2023 17:52:51,18-20,F,Arts,Bachelor's degree,student,Yes,No,No,providing service to students,Yes,helps students to clear confusions,No
3/21/2023 17:53:59,21-25,M,Science,Bachelor's degree,Software engineer,Yes,Yes,No,it's not good for students,No,helps students to cheat,Yes
3/21/2023 17:54:46,18-20,M,Science,Bachelor's degree,student,Yes,No,Yes,guidance,Yes,because it guides the students,No
3/21/2023 17:57:24,18-20,M,Business,Bachelor's degree,student,Yes,No,Yes,study purposes,Yes,assist us in homeworks,No
3/21/2023 17:58:34,26-35,M,Business,Master's degree,Bank Teller,No,No,Yes,helps students,Yes,guidance is not bad for students,No
3/21/2023 18:01:09,18-20,M,Engineering/Architectural Science,Bachelor's degree,student,Yes,No,Yes,assignment purposes,Yes,helps us in our academics ,No
3/21/2023 18:03:37,21-25,F,Law,Bachelor's degree,,Yes,No,Yes,,Yes,"ChatGPT can be available 24/7 to answer queries and questions from students, staff, and faculty members. This can improve the overall efficiency of the university's support system.",No
3/21/2023 18:04:52,18-20,Other,Science,High School diploma or equivalent,,Yes,Yes,Yes,,No,"ChatGPT may collect and store user data, which could potentially lead to privacy concerns if not managed appropriately.",Yes
3/21/2023 18:05:53,26-35,F,Business,Master's degree,Professor,Yes,No,Yes,,Yes,ChatGPT can be customized to provide personalized responses based on the individual needs of students and staff. This can improve the overall user experience and satisfaction.,No
3/21/2023 18:06:33,18-20,F,Engineering/Architectural Science,High School diploma or equivalent,,Yes,No,Yes,,No,"ChatGPT may not always understand the context of a question or request, which could lead to incorrect or incomplete responses.",Yes
3/21/2023 18:08:36,21-25,M,Arts,High School diploma or equivalent,,Yes,Yes,No,,No,"As an art student, AI has harmed the field of art. Many AI models have started to replace human which feels unethical to me. Art expresses emotions, which cannot be replicated by artificial intelligence",No
3/21/2023 21:33:29,21-25,M,Business,Bachelor's degree,Student ,Yes,No,Yes,To understand the topic,Yes,"It helps to understand, no need to ask again n again professor ",No
3/22/2023 4:09:10,18-20,M,Science,Bachelor's degree,Student,Yes,No,Yes,,Yes,Its outcomes are fast. You can see new methods for programming and it can also help the students for their projects.,No
3/22/2023 20:35:19,18-20,M,Engineering/Architectural Science,Bachelor's degree,student,Yes,No,Yes,helping students with confusions,Yes,cause it helps the students,No
3/22/2023 20:36:36,21-25,F,Engineering/Architectural Science,Master's degree,Industrial engineer,Yes,No,Yes,academics,Yes,because its helpful,No
3/24/2023 12:54:54,21-25,M,Arts,Bachelor's degree,Student,Yes,No,Yes,academic purposes,Yes,because it helps the students,No
3/24/2023 12:55:39,21-25,F,Law,Master's degree,student,No,No,No,i have no idea bout chatgpt,Yes,maybe yes because it's an ai,No
3/24/2023 12:56:23,18-20,F,Business,Bachelor's degree,student,Yes,No,Yes,assignments,Yes,gives us an idea on our tough assignments,No
3/24/2023 12:57:27,21-25,F,Arts,Bachelor's degree,student,No,No,Yes,homework guide,Yes,it helps students to learn more,No
3/24/2023 12:58:15,21-25,M,Science,Bachelor's degree,student,Yes,No,Yes,help you understand things,Yes,because it's a learning tool,No
3/24/2023 18:37:47,18-20,F,Business,Bachelor's degree,retail sales associate,No,No,Yes,academics,Yes,solves the confusions,No
3/24/2023 18:38:45,26-35,F,Business,Master's degree,Financial Advisor,No,No,Yes,can be used for anything,Yes,because it's an invention made for help,No
3/24/2023 18:40:06,21-25,M,Science,Bachelor's degree,student,Yes,No,Yes,for assignments,Yes,it gives guidance,No
3/24/2023 18:41:06,21-25,M,Arts,Bachelor's degree,student,No,No,Yes,assignments,Yes,helps students with assignments,No
3/24/2023 18:41:41,18-20,M,Business,Bachelor's degree,student,No,No,Yes,assignment,Yes,assignment,No
3/24/2023 18:47:27,21-25,M,Business,Bachelor's degree,Student,Yes,No,Yes,it helps students to explore more ideas,Yes,cause it just an ai that helps to learn more,No
3/24/2023 18:48:10,18-20,F,Business,Bachelor's degree,student,Yes,No,Yes,project purposes,Yes,helps with gaining ideas for project,No
3/24/2023 19:43:27,21-25,M,Business,Bachelor's degree,student,Yes,No,Yes,for work,Yes,it's beneficial,No
3/24/2023 19:44:36,21-25,M,Science,Bachelor's degree,student,Yes,No,Yes,academics,Yes,it's helpful,No
3/25/2023 4:33:13,18-20,M,Business,Bachelor's degree,student,Yes,No,Yes,assignment,Yes,it helps us,No
3/25/2023 4:46:43,18-20,M,Business,Bachelor's degree,,Yes,No,Yes,,Yes,Helpful for students,No
3/25/2023 4:48:54,18-20,M,Science,Bachelor's degree,,Yes,No,Yes,,Yes,Helps understand any concept in multiple ways,No
3/25/2023 4:51:19,21-25,Other,Arts,Bachelor's degree,,Yes,Yes,Yes,,No,Unoriginal ,Yes
3/25/2023 4:54:17,36-45,F,Community Services,Master's degree,Teaching assistant ,Yes,No,Yes,,Yes,Offloads work load on profs,No
3/27/2023 1:03:50,18-20,M,Business,Bachelor's degree,student,Yes,No,Yes,academics,Yes,help,No
3/27/2023 1:04:30,21-25,F,Business,Bachelor's degree,student,Yes,No,Yes,assignment,Yes,school purposes,No
3/27/2023 1:05:44,18-20,F,Business,Bachelor's degree,student,No,No,Yes,assignmenr purposes,Yes,help us students,No
3/27/2023 22:24:22,18-20,M,Business,Bachelor's degree,Student,Yes,No,Yes,ChatGPT can be used similar to Google search,Yes,"ChatGPT is a great tool for gathering new information, but it becomes detrimental to students when they become dependent on it.",No
3/29/2023 10:29:36,21-25,F,Medical sciences,Bachelor's degree,Bachelor of dentistry,No,No,Yes,Helpful in academic and fast response ,Yes,Work load on students will decrease,Yes
3/29/2023 10:32:58,21-25,F,Science,Bachelor's degree,BDS Student,No,No,Yes,,Yes,It would help you in your academics,No
3/29/2023 10:47:20,18-20,F,Science,Doctorate,2nd year dental student ,No,No,No,,Yes,Its good ,Yes
